brain.1	fetal.brain.1	bg1	bg2
1280_i_at	932.193258341142	714.018796058943	0	0
1281_f_at	36.7708994333763	60.0492958891401	0	0
1282_s_at	94.039961905071	105.469028359424	0	0
1283_at	16.3717215573564	28.9552010410281	0	0
1284_at	205.966752485142	544.526667202842	0	0
1285_at	30.751977302932	145.84826238272	0	0
1286_s_at	22.455802777621	6.72804875042194	0	0
1287_at	2175.16225301605	1625.23489800738	0	0
1288_s_at	26821.5850359573	38604.0817386329	0	0
1289_at	284.598923422944	267.096460035221	0	0
129_g_at	44.5596645702508	47.1803702526872	0	0
1290_g_at	232.762219905952	180.893046226061	0	0
1291_s_at	154.182934524813	298.019524278448	0	0
1292_at	81.2915028519072	69.909123886542	0	0
1293_s_at	103.248882417712	36.9488764411743	0	0
1294_at	390.766206456865	173.913781551661	0	0
1295_at	601.873311897881	791.931406099192	0	0
1296_at	92.8467334502404	400.646296130539	0	0
1297_at	25.5517109933524	23.1490553116849	0	0
1298_at	31.3223266175082	10.3668574451537	0	0
1299_at	16.6423478807888	58.0868567939867	0	0
130_s_at	32.9802767042108	60.4496765017122	0	0
1300_at	87.327756132437	117.505196176217	0	0
1301_s_at	56.4654425611801	35.5094063613643	0	0
1302_s_at	82.5175033859403	278.379110264531	0	0
1303_at	23.5722274225421	40.8777448917076	0	0
1304_at	66.9569461823479	21.6012005919907	0	0
1305_s_at	160.439602288425	183.685305710294	0	0
1306_at	1056.01318670999	1044.82532154312	0	0
1307_at	185.056765314319	441.049810383372	0	0
1308_g_at	237.590416837536	351.303420244131	0	0
1309_at	2914.46217643533	751.302225846705	0	0
131_at	218.394143713338	558.133667036684	0	0
1310_at	3356.81373838823	1636.43572443337	0	0
1311_at	2065.61620454636	1553.31985888745	0	0
1312_at	3217.38815904322	1083.14992308171	0	0
1313_at	930.30164444191	792.933688697418	0	0
1314_at	934.332817678394	1156.48167090343	0	0
1315_at	24569.9804162708	7286.43182884726	0	0
1316_at	407.017014290959	419.625275829876	0	0
1317_at	199.129788688175	222.004348392308	0	0
1318_at	370.973434939609	1001.54562253309	0	0
1319_at	107.003307761573	41.1450711715766	0	0
132_at	31.1786660376749	47.7601221269339	0	0
1320_at	51.8138049338351	54.7500046266521	0	0
1321_s_at	102.382363883213	136.275600852195	0	0
1322_at	88.2994395107928	52.9939162694347	0	0
1323_at	22632.3547500541	12391.3806973776	0	0
1324_at	68.5226236150254	98.3441184755564	0	0
1325_at	246.312424832587	386.837622037122	0	0
1326_at	84.8843065944626	130.348143054737	0	0
1327_s_at	257.454998113491	171.67910852182	0	0
1328_at	86.5055765424074	72.9458725515461	0	0
1329_s_at	297.747638579185	656.980763182047	0	0
133_at	253.729110983735	310.021081014703	0	0
1330_at	42.0034091660568	69.307880281854	0	0
1331_s_at	299.276051767131	357.432363079054	0	0
1332_f_at	373.978274627098	131.13983407429	0	0
1333_f_at	464.347930971005	279.001786621235	0	0
1334_s_at	115.235817801314	113.989290037137	0	0
1335_at	104.423623412152	443.231506521386	0	0
1336_s_at	4921.04449246666	1556.87625372055	0	0
1337_s_at	37.8597888240255	154.444274065264	0	0
1338_s_at	226.503592887161	242.241359376321	0	0
1339_s_at	265.750603858736	383.54591858933	0	0
134_at	17.8017339809554	132.888563333056	0	0
1340_s_at	74.6592383562116	25.5796040228929	0	0
1341_at	22.4257086510781	112.720401764704	0	0
1342_g_at	46.9323829996471	113.695594824972	0	0
1343_s_at	14.3751577145028	18.7284975514336	0	0
1344_at	48.7464534132782	31.3309084232149	0	0
1345_s_at	61.8765812873004	66.6686496291637	0	0
1346_at	23325.5224083685	1360.39070950924	0	0
1347_at	642.215449245147	136.644246552744	0	0
1348_s_at	194.21832792636	278.33462236946	0	0
1349_at	18.4509376406193	31.8621300193786	0	0
135_g_at	102.653570950328	528.321059878492	0	0
1350_at	18.7678981765842	72.3520190782364	0	0
1351_at	281.457473148629	68.3869610179774	0	0
1352_at	278.31844930254	367.950581284375	0	0
1353_g_at	184.617106948868	201.004560893032	0	0
1354_at	395.683239260729	271.249062264848	0	0
1355_g_at	1833.14001957387	1356.51927950897	0	0
1356_at	468.248053843666	463.010428741127	0	0
1357_at	345.817803636552	260.314922448114	0	0
1358_s_at	721.947805522287	735.105794160195	0	0
1359_at	50.8098024319253	43.6183731137162	0	0
136_at	84.3353292573456	76.3551330758778	0	0
1360_at	162.406352082913	149.765968828173	0	0
1361_at	246.882581901121	419.351018758615	0	0
1362_s_at	323.630035094898	303.659007918374	0	0
1363_at	541.790576262058	475.553249935197	0	0
1364_at	503.718362308727	2786.92809496186	0	0
1365_at	35.6282677248772	37.188637310687	0	0
1366_i_at	12369.1630223652	17416.3031488146	0	0
1367_f_at	13704.5297415914	13792.7386459335	0	0
1368_at	95.5902763211947	10.717586760151	0	0
1369_s_at	45.6401189001848	50.157916058565	0	0
137_at	455.150433572529	406.542394510104	0	0
1370_at	363.281036144257	540.239439452418	0	0
1371_s_at	29.6477964626169	68.0131102561626	0	0
1372_at	56.1108461525058	39.3450926367143	0	0
1373_at	219.102412914172	674.626550208169	0	0
1374_g_at	121.387146917912	844.045259805818	0	0
1375_s_at	285.807838041148	362.547815208595	0	0
1376_at	218.502032152123	179.801212736295	0	0
1377_at	139.833473481999	168.198691555781	0	0
1378_g_at	308.240342536269	134.903562680214	0	0
1379_at	123.390110156707	97.6478767235411	0	0
138_at	445.412813536725	169.719211412023	0	0
1380_at	95.8727642911604	49.8388237133831	0	0
1381_at	47.6743480213388	209.991939020899	0	0
1382_at	144.264053025725	263.600116668442	0	0
1383_at	1291.40520317447	989.133121292757	0	0
1384_at	36.6263382804634	18.9621071313601	0	0
1385_at	92.3376058117037	114.194949084169	0	0
1386_at	550.398220741373	654.691229406391	0	0
1387_at	37.0573073541764	18.0965678053573	0	0
