brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2
1122_f_at	9.56292731813322	9.57881488620171	9.19446169788165	9.10366684171335	10.1073724016938	9.99359649342129	10.1467557078631	9.61125421820852
1123_at	5.34994869807311	5.12422539444702	4.96294647281505	4.99853831686224	6.31000488776612	5.35022165495041	5.12402200934566	6.01147768784292
1124_at	9.89530040336621	9.40305700301174	10.1080170279957	10.0892950640941	9.2530715166044	9.20578935175678	9.25933064090961	9.40422161938803
1125_s_at	3.72641312582939	3.5726206583005	4.20346297318881	5.96802408718045	3.96627775926454	4.37409499616244	3.96771219506975	4.57981439423972
1126_s_at	5.33147920583648	4.86379218403253	5.58401380222212	5.90036934165446	6.95753242813246	7.67736430109403	6.96488626557007	6.28754412192678
1127_at	8.62264591742562	8.9449671048733	8.38470720427508	7.454508089969	9.11232586147342	8.84732279127605	9.07181351925252	9.36206022610989
1128_s_at	7.60943364614151	6.42541000211313	7.97780160382136	5.78156002521614	8.27462855757032	7.49326690081778	7.75266242593477	7.72013633243328
1129_at	5.86424856446865	5.29259447200032	4.61958392227734	4.70800159692787	5.35502125567868	5.64762065013637	5.7929389537969	6.86512177919974
113_i_at	9.47215378680604	9.63047285543449	6.52523997550457	7.18442239642458	5.22422487906728	3.09886580298726	3.79602539004217	4.61219360260734
1130_at	11.2723192944132	10.8998986197754	10.0437350764265	9.71675301005355	10.0527604308977	10.2937321335525	9.85881803703729	9.8238459042962
1131_at	10.6695698120354	10.7865154003381	8.94131695898803	9.81767211347702	10.6463149890109	10.7588195892229	10.5617061419586	10.4663042582752
1132_s_at	8.40875611310116	8.00149349656182	9.12072895456375	8.16909645659983	9.5880350590863	9.57035067632397	9.51648423335787	9.87195191963214
1133_at	5.41684989893357	4.77044248258333	4.71652090166453	4.28643349955996	6.27452571162099	4.98628658217374	6.02082913645656	6.08190580099829
1134_at	10.8595628959291	11.2209455052969	10.3516451185435	10.1856269275603	9.50160680564711	9.76212617486366	9.7139413612504	9.80533078880667
1135_at	9.31217314995587	9.13688843520199	9.42772583687137	9.09108260477719	9.53827379637137	9.20585350055275	8.4518136711347	7.03711018404088
1136_at	8.36057249872881	8.09702997825862	8.308584798248	7.98192544857935	8.90710472753636	9.04265244458547	8.03904437654283	8.91443934019178
1137_at	8.32790545274967	8.96681045699828	8.03498613650979	7.68036829671273	5.61166175515179	7.70500479809748	6.21527513750699	8.04238315971084
1138_at	10.4749060466636	10.1670479146416	9.71035199310903	9.97761666648606	9.90500343881139	10.4516162321348	7.46363885529209	7.56247222773236
1139_at	4.04284829185471	6.05410952104562	8.06061440749502	8.16901366177235	7.44671282405184	6.52682716943604	5.67988310465738	7.62316657484705
114_r_at	5.62468545736761	4.68307429437527	5.35564132575859	5.16275342527433	5.42655716839348	4.51633728958143	4.88599326027138	4.670528718381
1140_at	7.45363818842479	7.77904357723372	7.44493363254625	8.48863356964549	5.85939257935656	7.88903042011124	5.39595161806686	8.0189897051861
1141_at	7.90750317922821	7.29235269104573	8.23329742563223	8.32505076270911	8.0619743896357	7.82541812562917	8.06612289530137	8.55093965461885
1142_at	8.31924387660546	7.44759675568744	8.53309697602681	8.53465727393428	9.40517910792345	8.73715110847039	8.96690856286771	9.04544514996211
1143_s_at	8.19528595225629	8.8496945800234	8.86844676312869	8.96934267190607	8.67738421621445	9.14710005866106	6.96607027669412	8.76423015673628
1144_at	5.4226401976371	6.91466502723655	5.51911565901813	7.05420811699354	5.69752632767564	6.97115697608591	6.08863687197275	5.52506314655453
1145_g_at	8.57596735837203	8.98892343266717	8.50304449461169	8.46388709208086	9.11318333264791	8.44907316985481	8.99659605678665	9.12424872216426
1146_at	5.37144513953538	6.76881724630287	5.65995738718055	5.49588262150692	8.71799447425167	9.08233114257369	9.39624281840928	9.37822543601607
1147_at	9.83910330295012	9.67416862646382	11.0058656891045	11.3021184632179	8.42480374200337	8.22820873808655	7.85887440658699	7.4746189927573
1148_s_at	7.44602862138916	7.81395634232469	8.99455380592783	9.11135107332355	8.71368019953854	8.72188548096245	6.39650853700197	5.04961307606391
1149_at	5.15795810449138	4.20404542698703	4.58939874691982	5.20921206883178	5.94405788888713	4.73195533096033	4.98651648384447	5.76828876715628
115_at	5.59430290000365	4.814047529236	9.28508848187552	9.33121257844204	9.15192025439755	9.18857419466823	6.16995236005839	8.00966646896124
1150_at	8.14559181807848	7.57112845133202	8.37385030787753	7.71782589674399	7.67113987270325	6.11300780932047	7.15627545655983	4.56942011832949
1151_at	10.2532922032783	10.0128994444929	12.5426612313	12.5625946596736	10.5037000948527	10.7023360598692	9.93760439247354	9.83006638046313
1152_i_at	8.81215837673195	8.26193417096231	9.96611933783401	9.8619268404529	9.83057887134724	10.2488589974494	9.94461547061976	10.7717725199836
1153_f_at	7.28497407660415	7.10967219514874	7.47489100451171	7.68618560611198	7.69686342540887	7.6235351276919	8.37969185344063	8.13508108368672
1154_at	9.20730807600349	8.74824100915836	9.06164036507467	9.63879110792364	9.39520159433769	9.43217470464288	9.2341297132391	9.56019921926519
1155_at	8.52511979304573	8.06499103879849	8.56584595389468	8.38810605586373	9.10158485193464	8.17172019952924	8.53517217148464	8.87718610817466
1156_at	5.48251056066161	6.19024352950878	7.27674855855457	5.89679046626251	8.41866340706461	7.30506517515271	7.03419170240909	7.55461552297581
1157_s_at	7.69723365862804	7.17903212219062	6.6543586327833	7.78879486692358	5.24905181107733	6.90909805960357	5.32513631049099	5.08698680265371
1158_s_at	13.3249992788255	13.2650525321608	12.2175587119414	12.4925885494444	9.80164416731043	9.55167162961205	7.41093264286745	7.95628927093831
1159_at	2.91010851717297	3.92184714434634	2.58960309900873	4.766361317072	2.29037178215808	2.93709999670671	1.96723941889468	2.34542335127978
116_at	4.57010469494166	6.60492212051081	7.21752388194551	7.14559834619734	7.30166149215823	6.84990875205087	7.73536504198493	7.49210255366413
1160_at	11.6226255628092	11.754726078607	10.1246501403242	10.2091033584681	11.1339221942943	11.1186316761265	12.2562014864505	11.9319343587621
