brain.1	brain.2	fetal.brain.1	fetal.brain.2	fetal.liver.1	fetal.liver.2	liver.1	liver.2	brain.mean	fetal.brain.mean	liver.mean	fetal.liver.mean	brain.fetal.to.adult	liver.fetal.to.adult
1023_at	5.65765086031409	5.52218257260728	4.75925018683409	5.31762928374584	7.90631423536797	5.43518323711041	7.92487128604348	6.90546902305243	5.58991671646069	5.03843973528996	7.41517015454795	6.67074873623919	-0.551476981170723	-0.744421418308759
1024_at	8.14963052136048	7.31260363201586	8.54294062516681	8.20046125238021	8.73647687791047	8.6832403616524	9.48942123051329	9.63891677321361	7.73111707668817	8.37170093877351	9.56416900186345	8.70985861978144	0.640583862085334	-0.854310382082012
1025_g_at	7.33810991753154	6.95300573267485	5.98826718767145	4.92693404871198	5.73051151851193	7.10768743578083	9.08223646147851	9.09582698991747	7.1455578251032	5.45760061819172	9.08903172569799	6.41909947714638	-1.68795720691148	-2.66993224855161
1026_s_at	8.47838484984011	8.12710261578893	8.59687132880191	6.71330704735977	9.37239362330487	8.39199579519664	9.74508848003283	9.81863602264327	8.30274373281452	7.65508918808084	9.78186225133805	8.88219470925075	-0.647654544733685	-0.8996675420873
1027_at	7.35954688301186	6.17483312492738	8.22289997711398	7.83767769542014	7.63047098454453	7.35979214278468	6.43911475586499	8.49877876395556	6.76719000396962	8.03028883626706	7.46894675991028	7.49513156366461	1.26309883229744	0.0261848037543277
1028_at	8.18559329026875	7.57117527577377	8.10175042430516	8.01868266740911	8.62779762270203	8.51609455790148	8.61808522908371	9.10524010159003	7.87838428302126	8.06021654585714	8.86166266533687	8.57194609030176	0.181832262835874	-0.289716575035108
1029_s_at	3.99932457962258	5.82100230701259	5.47459328271647	5.31768023960828	3.85948062924264	4.37723011182861	4.39276332378617	6.24535516663441	4.91016344331759	5.39613676116237	5.31905924521029	4.11835537053563	0.485973317844787	-1.20070387467466
103_at	7.54342384703617	7.58195662296805	5.69765468155737	5.03854828100797	5.58239628765033	5.42288251743632	6.44858963017524	6.17104283561455	7.56269023500211	5.36810148128267	6.30981623289489	5.50263940254333	-2.19458875371944	-0.807176830351567
1030_s_at	8.98881836242978	8.65820545726963	10.4473550887163	10.4002986518547	9.89933950462149	10.1598712167705	8.54131574912445	7.64747722850933	8.8235119098497	10.4238268702855	8.09439648881689	10.029605360696	1.60031496043578	1.93520887187911
1031_at	6.58915205411181	6.24084519383552	9.13130735744311	8.99412697744414	7.10007958231352	7.09057363118718	5.30987750113424	5.80397530604676	6.41499862397367	9.06271716744363	5.5569264035905	7.09532660675035	2.64771854346996	1.53840020315985
1032_at	9.36903270214058	8.95593696486784	9.58695213075721	9.07038134035349	10.8296152530771	10.3964173655936	10.2898848603824	11.2405485044462	9.16248483350421	9.32866673555535	10.7652166824143	10.6130163093354	0.166181902051141	-0.152200373078934
1033_g_at	7.0894676903118	7.51063032424914	7.87539637536921	5.63785796551226	8.41565020208292	8.07280569263723	8.40077974215417	9.09535064029843	7.30004900728047	6.75662717044073	8.7480651912263	8.24422794736008	-0.543421836839741	-0.503837243866224
1034_at	9.48228045439846	10.0408427137529	9.48205103677471	9.40530447635945	9.88258240606705	9.95762673910032	10.1507292613203	9.93546720237534	9.76156158407567	9.44367775656708	10.0430982318478	9.92010457258369	-0.317883827508592	-0.122993659264116
1035_g_at	8.74382861831649	9.1076009897178	9.11758881902341	9.08919901488985	9.74924004105297	9.7666238537281	9.32585133449336	9.53106887052859	8.92571480401715	9.10339391695663	9.42846010251097	9.75793194739053	0.177679112939487	0.32947184487956
1036_at	5.60802085148751	1.19645305788115	2.86283314997475	2.88572498968838	3.23392809933825	4.87608366341219	6.52542426075087	5.53796069771603	3.40223695468433	2.87427906983157	6.03169247923345	4.05500588137522	-0.527957884852763	-1.97668659785823
1037_at	5.09245544995359	5.25705596711727	7.1504255763945	7.37478499838278	7.17359924322677	6.19564121251333	7.49984826602418	5.11478974639735	5.17475570853543	7.26260528738864	6.30731900621077	6.68462022787005	2.08784957885321	0.377301221659286
1038_s_at	8.40116610005794	7.54082007867036	8.83612381947365	9.01138719940779	8.51974400220229	8.92935387408401	6.44665599075061	6.41065713861438	7.97099308936415	8.92375550944072	6.42865656468249	8.72454893814315	0.952762420076569	2.29589237346065
1039_s_at	8.68060995962626	7.26828481050692	9.2423408825183	9.578046503922	8.31885123240917	8.265876864151	6.63685569857372	6.65830201657277	7.97444738506659	9.41019369322015	6.64757885757324	8.29236404828008	1.43574630815356	1.64478519070684
104_at	7.97894939896139	7.82596471730908	8.39111481177545	8.23383996584203	6.89085763905776	5.54702201207694	6.12883520392644	6.70333894078777	7.90245705813524	8.31247738880874	6.41608707235711	6.21893982556735	0.410020330673508	-0.197147246789754
1040_s_at	5.4485738879225	5.46730378663141	7.75587496406245	7.66647900437863	4.90794032444836	5.46989410808019	4.49795988599746	6.19452673112144	5.45793883727695	7.71117698422054	5.34624330855945	5.18891721626427	2.25323814694359	-0.157326092295174
1041_at	4.68925066500987	5.99849847647096	5.18283676240897	5.42700326323184	6.05065834375472	4.32812676077083	5.74530613083305	5.62462311909523	5.34387457074042	5.3049200128204	5.68496462496414	5.18939255226277	-0.0389545579200128	-0.495572072701369
1042_at	3.80089792718304	2.68756623620208	5.94823583940935	6.1329100341309	6.14067724124009	6.57410860106464	6.11393325717468	3.88864027687356	3.24423208169256	6.04057293677013	5.00128676702412	6.35739292115237	2.79634085507756	1.35610615412824
1043_s_at	7.26907947447949	6.71684894272952	4.39024431387488	7.20556377254392	7.17354667488036	7.30329022863518	5.30068631666903	6.06114290918756	6.99296420860451	5.7979040432094	5.68091461292829	7.23841845175777	-1.19506016539511	1.55750383882947
